22052319710213737X,尤明曜,,19710213,00,2,1,13542211000,020-81001000,buu1000@163.com,1,小米1000,北京10001,020-83001000,研发部,开发人员,3,15.1000,13542211500,1,20.1000,尤明曜1000,
220523198808174054,吕雄博,,19880817,01,2,1,13542211001,020-81001001,buu1001@163.com,1,小米1001,北京10011,020-83001001,研发部,开发人员,3,15.1001,13542211501,1,20.1001,吕雄博1001,
220523198401287110,孔煜祺,,19840128,02,2,1,13542211002,020-81001002,buu1002@163.com,1,小米1002,北京10021,020-83001002,研发部,开发人员,3,15.1002,13542211502,1,20.1002,孔煜祺1002,
220523197809119159,费建功,,19780911,03,2,1,13542211003,020-81001003,buu1003@163.com,1,小米1003,北京10031,020-83001003,研发部,开发人员,3,15.1003,13542211503,1,20.1003,费建功1003,
220523198005162957,喻修杰,,19800516,04,2,1,13542211004,020-81001004,buu1004@163.com,1,小米1004,北京10041,020-83001004,研发部,开发人员,3,15.1004,13542211504,1,20.1004,喻修杰1004,
220523198901169292,周宣朗,,19890116,05,2,1,13542211005,020-81001005,buu1005@163.com,1,小米1005,北京10051,020-83001005,研发部,开发人员,3,15.1005,13542211505,1,20.1005,周宣朗1005,
22052319810227917X,昌彦博,,19810227,06,2,1,13542211006,020-81001006,buu1006@163.com,1,小米1006,北京10061,020-83001006,研发部,开发人员,3,15.1006,13542211506,1,20.1006,昌彦博1006,
220523198709192097,贺伟誉,,19870919,07,2,1,13542211007,020-81001007,buu1007@163.com,1,小米1007,北京10071,020-83001007,研发部,开发人员,3,15.1007,13542211507,1,20.1007,贺伟誉1007,
220523198106225531,乐淳雅,,19810622,08,2,1,13542211008,020-81001008,buu1008@163.com,1,小米1008,北京10081,020-83001008,研发部,开发人员,3,15.1008,13542211508,1,20.1008,乐淳雅1008,
220523198909261819,褚新曦,,19890926,09,2,1,13542211009,020-81001009,buu1009@163.com,1,小米1009,北京10091,020-83001009,研发部,开发人员,3,15.1009,13542211509,1,20.1009,褚新曦1009,
220523198503191398,昌熙泰,,19850319,10,2,1,13542211010,020-81001010,buu1010@163.com,1,小米1010,北京10101,020-83001010,研发部,开发人员,3,15.1010,13542211510,1,20.1010,昌熙泰1010,
220523197804173535,常明曜,,19780417,11,2,1,13542211011,020-81001011,buu1011@163.com,1,小米1011,北京10111,020-83001011,研发部,开发人员,3,15.1011,13542211511,1,20.1011,常明曜1011,
220523198404258753,唐泽洋,,19840425,12,2,1,13542211012,020-81001012,buu1012@163.com,1,小米1012,北京10121,020-83001012,研发部,开发人员,3,15.1012,13542211512,1,20.1012,唐泽洋1012,
220523198107198950,贺康裕,,19810719,13,2,1,13542211013,020-81001013,buu1013@163.com,1,小米1013,北京10131,020-83001013,研发部,开发人员,3,15.1013,13542211513,1,20.1013,贺康裕1013,
220523199007216212,顾博文,,19900721,14,2,1,13542211014,020-81001014,buu1014@163.com,1,小米1014,北京10141,020-83001014,研发部,开发人员,3,15.1014,13542211514,1,20.1014,顾博文1014,
220523199004119476,郎嘉懿,,19900411,15,2,1,13542211015,020-81001015,buu1015@163.com,1,小米1015,北京10151,020-83001015,研发部,开发人员,3,15.1015,13542211515,1,20.1015,郎嘉懿1015,
